sample,ENSG00000157150.4,ENSG00000139618.14,ENSG00000133687.15,ENSG00000082175.14,ENSG00000012048.19,ENSG00000140009.18,ENSG00000196569.11,ENSG00000091831.21,ENSG00000107485.15,ENSG00000141736.13
TCGA-D8-A1XC-01,3.8126,0.0990,-0.5973,5.0444,1.9415,-4.0350,-1.6850,8.9627,8.4796,5.1571
TCGA-EW-A1P0-01,-0.3383,0.6050,0.5568,-1.5951,2.5683,-2.3884,1.6093,6.0689,8.7008,2.5188
TCGA-E2-A15M-01,2.9432,1.5115,2.8158,2.9600,2.1670,-1.9942,3.9242,6.2865,7.2401,7.0555
TCGA-E2-A1II-01,-4.2934,1.7995,1.7954,-2.3884,2.8522,-1.9942,2.0183,-1.8314,2.0878,4.7291
TCGA-S3-AA14-01,-0.4521,1.7273,0.9115,3.1491,1.6045,-3.1714,3.4894,3.5899,6.7759,9.6039
TCGA-A8-A09B-01,1.3956,0.2762,3.4791,6.5102,2.8542,-5.5735,2.3077,7.5960,7.8191,6.8431
TCGA-AR-A5QP-01,0.1124,0.8961,1.2516,1.3225,1.8201,-0.7834,3.2617,6.4563,7.4601,6.3523
TCGA-E9-A6HE-01,2.5036,-1.9379,-0.6193,3.0978,2.2144,-4.0350,0.5568,5.7911,7.2812,6.8862
TCGA-EW-A1P1-01,3.0199,-0.1031,3.7302,1.4065,1.2696,-2.2447,3.0110,2.5634,4.2189,5.7947
TCGA-E2-A573-01,-3.1714,1.2756,2.4090,-4.0350,2.9071,-1.2142,-0.1828,-1.9379,2.0430,5.0696
TCGA-E9-A1RF-11,7.2924,-2.1779,4.8167,-0.6873,1.3109,0.2762,4.4122,2.3871,1.4065,2.4492
TCGA-A2-A0EV-01,0.5955,1.1050,0.6145,5.0321,3.4609,-1.7322,2.0604,6.6876,7.4975,7.3909
TCGA-E9-A1RG-01,-2.3884,-1.4699,-1.8836,2.7551,2.2693,-3.4580,-0.1031,6.6282,7.5281,6.3889
TCGA-E2-A15I-11,7.1502,-1.7322,4.7950,0.6608,0.9038,1.6234,4.5620,2.7742,3.1079,3.3163
