sample,ENSG00000145041.15,ENSG00000136997.14,ENSG00000139687.13,ENSG00000171862.9,ENSG00000169083.15,ENSG00000157557.11,ENSG00000157554.18,ENSG00000134954.14,ENSG00000141510.15
TCGA-HC-A6AL-01,2.1798,5.2795,1.7532,3.6125,3.5706,3.3966,0.2154,1.6140,4.5161
TCGA-V1-A9O7-01,2.9300,6.7770,3.0110,4.4582,4.0884,6.2474,2.1345,3.8700,4.2921
TCGA-YL-A8SF-01,3.0376,6.8514,2.8422,3.4088,3.8401,3.2080,6.9197,2.4649,4.4250
TCGA-EJ-5516-01,3.5559,5.5796,4.2795,4.1019,4.8156,5.3541,7.2170,4.8197,4.5589
TCGA-G9-6348-01,3.0550,5.8148,2.8838,3.5863,3.4088,6.6914,1.7097,3.8259,4.9050
TCGA-ZG-A9LM-01,2.6602,4.0782,2.9839,2.7508,3.8788,3.8788,0.5763,2.0500,4.6502
TCGA-ZG-A9LY-01,3.1523,4.9137,3.2205,3.9929,3.2236,4.4067,1.7403,3.6101,4.7997
TCGA-HC-7740-01,3.4441580128,5.10490762584,3.81498942246,6.0577912064,5.22617460308,5.66504769257,2.57471353183,4.73469398315,4.31671151701
TCGA-G9-6343-01,2.3677,3.8044,1.8762,3.8116,3.4843,3.2885,0.0718,1.5563,4.3632
TCGA-VP-A87B-01,2.8117,5.7716,2.3704,4.3702,4.6387,3.7226,1.1184,2.1114,4.3992
TCGA-CH-5792-01,3.4034,5.7727,3.5473,4.2465,4.3053,4.8724,2.1798,4.1145,4.9561
TCGA-HC-7737-11,2.9562,3.8719,3.8044,4.1294,4.4945,4.7592,0.8805,3.0393,3.8401
TCGA-TP-A8TV-01,2.8622,5.2732,2.4306,4.8187,4.7835,2.5996,0.4552,1.8444,4.7143
TCGA-J4-A83N-01,2.9692,6.8025,3.0217,3.8380,3.8601,3.9792,5.9393,2.3106,4.7565
TCGA-G9-6496-01,2.2783,3.6148,3.2313,4.2495,3.8808,3.6916,0.9935,2.3479,5.4426
TCGA-V1-A8WV-01,3.0568,4.5009,2.7700,5.1780,3.3787,6.4666,1.9188,3.8857,4.7793
TCGA-H9-7775-01,3.3842,6.0288,3.1278,4.4523,4.5663,4.5136,1.2147,3.1765,4.8645
TCGA-G9-6339-01,2.6510,4.9575,3.0002,2.9090,3.1079,5.1740,1.0711,2.3564,4.3758
TCGA-EJ-7317-01,3.0910,4.5681,3.3003,3.9673,4.4047,3.2811,0.7407,2.5924,4.5940
TCGA-VN-A88Q-01,3.5584,5.5515,3.2313,1.9415,3.7656,4.6294,6.2005,3.1924,4.7016
TCGA-V1-A9ZK-01,3.4504,4.4868,3.4088,3.8759,4.4210,4.7242,1.4756,3.0706,4.5374
TCGA-CH-5765-01,3.5086,6.1571,3.4881,4.5167,4.4013,3.9856,7.3885,2.8661,5.0721
TCGA-G9-6377-01,3.1426,5.5925,3.0774,4.2442,3.6532,5.1457,5.2223,3.5669,4.6502
TCGA-EJ-5511-01,3.5161,6.7766,3.5682,4.8827,4.5034,3.7518,1.6281,3.6324,5.1950
TCGA-EJ-7328-11,3.3591,5.2631,3.8300,5.1211,4.5230,6.0237,2.4779,4.5224,4.1780
TCGA-CH-5788-01,3.5839,7.7440,3.2870,6.5005,5.1819,3.7709,0.1648,1.7786,4.6491
TCGA-EJ-A65E-01,3.0619,4.0153,3.6939,4.4344,4.1954,4.4516,-0.1031,2.5188,4.4344
TCGA-G9-6336-01,2.9224,4.6271,3.0127,4.0670,3.4661,5.4702,4.5528,2.3106,4.9584
TCGA-EJ-7317-11,3.3717,3.7105,4.0645,4.4310,4.6451,4.7082,1.5514,3.2251,4.2173
TCGA-V1-A8MG-01,3.0927,5.7921,2.9356,4.2488,4.7528,4.3702,1.7053,3.4358,4.6832
TCGA-HC-7818-01,3.3221,5.6002,3.8330,4.5002,4.2578,4.6531,4.6759,3.0637,5.0000
TCGA-SU-A7E7-01,3.2205,6.2544,3.5362,4.3097,4.4634,5.4745,1.3283,3.5047,4.5318
TCGA-VN-A88N-01,3.2127,3.4778,3.5779,4.2736,3.4291,3.8640,0.6880,2.9544,4.5958
TCGA-KK-A8IC-01,3.4197,5.4618,3.4933,4.5778,3.7496,5.7385,6.4316,4.1970,2.9655
TCGA-G9-6356-01,3.1797,5.6308,3.6207,4.1498,4.1409,5.2442,4.5142,3.6983,5.2552
TCGA-HC-7738-11,2.9356,3.7367,3.1540,3.9346,4.5148,4.2404,1.0151,3.4318,3.2158
TCGA-TP-A8TT-01,3.2389,4.8385,3.7291,3.7593,3.8759,4.1978,6.2449,4.2728,4.3306
TCGA-V1-A8MK-01,3.0842,4.8934,3.1261,4.0037,3.9571,4.7496,3.6219,3.3717,4.4803
TCGA-CH-5772-01,3.4318,6.0398,3.6417,4.5442,4.9041,3.7496,1.9415,3.2959,4.9026
TCGA-CH-5763-01,3.3134,6.1111,4.0144,4.4006,4.1820,5.8871,1.5709,3.7453,4.4149
TCGA-EJ-A46E-01,3.0092,6.5548,3.3952,4.1136,3.7324,7.1196,1.9188,2.8442,4.9036
TCGA-EJ-7331-01,3.4020,5.1157,4.1136,4.7960,5.2668,4.5380,2.0325,4.0593,4.6531
TCGA-KK-A59X-01,3.3235,3.6543,3.0092,4.6691,4.4443,2.7721,0.3796,2.2513,4.1335
TCGA-V1-A8ML-01,2.9356,5.5008,2.9618,3.7421,4.1019,3.8788,0.8726,2.8341,4.3364
TCGA-EJ-A46I-01,3.0038,5.6276,3.3148,3.9728,4.1351,4.6118,2.8602,2.7029,4.8218
TCGA-EJ-A7NF-01,2.8542,5.2122,2.8482,3.8866,3.5982,3.9108,6.8426,1.6281,4.9695
TCGA-CH-5746-01,3.3177,5.9709,3.9534,4.3256,4.2669,4.0739,6.2273,2.5658,5.3505
TCGA-V1-A9OH-01,3.0020,5.4696,2.9432,4.2684,3.6242,5.0409,1.0151,3.0056,4.5650
TCGA-G9-7521-01,3.6184,3.0568,3.5436,4.6271,4.8660,4.0419,1.5064,4.5429,3.8973
TCGA-HC-7749-01,3.2826,5.5173,3.7571,3.7539,5.2895,3.8249,1.9490,2.9655,5.4877
TCGA-YL-A8HO-01,2.8260,4.8294,3.1540,4.7856,3.7378,4.5255,2.0979,3.7846,4.3492
TCGA-EJ-7314-01,3.3206,6.1711,3.8719,2.6232,4.5898,5.7632,4.6242,2.7847,5.5429
TCGA-YL-A8SR-01,3.4543,4.7491,3.8944,4.1515,4.3910,4.5669,2.5238,4.7872,4.2064
TCGA-HC-7231-01,3.3235,5.3941,3.1011,2.3164,4.3917,3.8330,6.8762,3.8866,4.6047
TCGA-HC-7737-01,3.2781,5.7453,3.3856,4.0653,3.9700,6.2631,2.6371,4.7819,4.7038
TCGA-VP-AA1N-01,3.0944,5.5826,2.7401,2.2693,3.4543,4.8515,0.8082,2.6918,4.6468
TCGA-YL-A8SB-01,3.1062,5.3096,3.5621,4.3463,3.9393,3.7582,1.5998,3.4007,4.6041
TCGA-HC-7209-01,3.2343,6.2306,3.7625,2.3451,4.4887,4.7138,6.8299,3.3911,4.9303
TCGA-HC-7075-01,3.3938,5.2679,3.8095,4.4054,4.3883,2.3536,0.0580,3.0287,5.1555
TCGA-Y6-A9XI-01,3.5449,3.9232,2.9413,4.3234,4.9055,3.2018,1.3051,3.2856,4.0233
TCGA-M7-A71Z-01,3.0020,6.5081,1.9264,3.4424,3.7389,3.8905,6.0822,-0.0574,4.5940
TCGA-ZG-A9LB-01,2.1509,7.1018,1.2576,3.8719,3.1987,5.5865,-0.0877,1.9452,4.9317
TCGA-EJ-A7NK-01,2.9674,4.9045,2.9300,3.9147,3.8401,4.7088,3.1955,2.6185,4.4115
TCGA-YL-A8S9-01,3.1733,6.3616,2.2990,4.5336,4.7361,1.7403,-0.4921,2.1378,4.4270
TCGA-CH-5767-01,2.9544,6.1115,3.5559,4.1277,4.4410,3.8769,0.2154,2.4035,4.5268
TCGA-CH-5769-11,3.1377,5.7853,3.6691,2.5707,3.6359,4.4203,5.9213,2.9319,5.5479
TCGA-EJ-5495-01,3.5224,5.2514,4.1078,4.4983,4.8274,4.7005,6.1274,4.8505,4.9672
TCGA-EJ-A65D-01,2.0979,5.8045,1.6604,3.8187,3.4596,1.2455,5.7963,0.0990,5.0592
TCGA-CH-5790-01,3.5730,6.3300,4.1409,4.4095,4.2616,3.2752,7.2201,2.8701,4.5110
TCGA-KK-A8IB-01,2.9167,6.2504,1.9415,4.5098,3.3492,5.0930,1.1897,3.1145,4.6730
TCGA-HC-8259-01,3.3119,5.6969,3.2313,3.8719,3.9938,2.1444,6.6307,1.7141,5.0059
TCGA-J4-A83L-01,3.3787,6.6719,3.3521,4.0969,3.8249,4.5571,1.2992,3.2282,4.7082
TCGA-G9-6354-01,2.3048,3.9737,2.8994,3.9156,3.0533,3.5098,5.8422,1.4704,3.7603
TCGA-G9-6332-01,3.1908,5.6554,2.9802,0.2642,3.5047,2.4035,6.7866,1.3225,5.5348
TCGA-KK-A8I6-01,3.2435,6.3737,2.7931,3.3577,3.9147,4.1376,4.2706,2.9338,4.7027
TCGA-XJ-A83F-01,2.9413,5.5862,2.7357,4.1604,3.2049,3.2002,6.9590,2.1606,5.4403
TCGA-CH-5794-01,3.0481,5.9903,2.8622,1.7995,4.1474,3.9608,6.9861,2.2268,4.5098
TCGA-EJ-7328-01,3.1860,5.4809,3.7730,4.7049,4.0136,5.4800,6.0997,4.6674,4.8334
TCGA-YL-A9WL-01,3.4020,5.6068,2.9618,5.3841,4.8074,2.8442,7.0064,3.0927,0.7579
TCGA-V1-A9O5-01,3.3842,5.2017,3.1458,1.8404,4.2980,4.3869,1.1447,3.5547,4.3958
TCGA-HC-8266-01,3.4752,4.9960,3.5682,4.0926,4.0295,5.1579,2.0465,5.0282,4.5632
TCGA-XK-AAIW-01,3.4804,6.2694,4.1359,4.7576,4.9824,1.7870,0.3685,3.0706,5.5611
TCGA-KK-A8I9-01,3.2158,5.8493,3.1813,4.5958,4.2396,6.1190,3.1028,4.3155,4.7804
TCGA-YL-A9WH-01,3.2143,6.1106,2.5996,1.7912,3.8700,2.4359,0.6699,1.9968,5.1031
TCGA-V1-A9ZI-01,2.5731,5.8017,2.4439,4.4990,3.4318,3.7539,1.4859,2.9637,2.7249
TCGA-HC-7819-01,3.5022,5.4280,2.8522,4.3039,4.2150,3.6555,7.1442,2.8779,5.2300
TCGA-J4-A67S-01,2.3280,4.7698,1.2756,3.0411,3.0619,4.0807,5.6511,1.6187,4.9241
TCGA-X4-A8KQ-01,2.3760,4.7280,3.1062,4.0858,3.5224,5.2987,5.8316,2.8740,3.1245
TCGA-J4-A67R-01,1.7995,4.7496,1.5998,3.5535,2.7227,4.4700,4.5224,2.3077,4.4764
TCGA-YL-A8SJ-01,3.0774,6.2225,3.5337,4.0705,3.9346,3.9232,1.7053,3.0376,3.0585
TCGA-EJ-A6RA-01,2.8117,4.7388,2.8280,4.0636,3.6623,4.5534,0.2998,2.5137,4.7603
TCGA-EJ-5499-01,3.4034,5.9969,4.2518,3.4477,4.2488,4.5154,6.1106,3.3478,5.6369
TCGA-EJ-8470-01,3.7171,5.7887,4.2736,4.7220,4.7809,5.1958,1.2875,4.5844,4.8983
TCGA-EJ-7330-01,3.5706,6.1312,4.0515,4.8248,5.4410,6.0919,1.8879,3.8471,5.1031
TCGA-G9-6333-11,3.2374,4.1628,2.8240,4.2001,3.0740,5.2040,-0.1187,3.1669,4.6871
TCGA-HI-7168-01,2.7993,6.0224,3.2973,4.4745,3.9561,4.9672,1.5563,3.2722,5.0317
TCGA-EJ-5526-01,3.6612,5.2369,4.3827,4.7960,4.7517,4.8500,6.7811,3.9156,4.2243
TCGA-HI-7171-01,3.3321,6.5904,2.7784,4.8141,4.6753,3.4622,6.2557,3.2870,4.8895
TCGA-2A-A8VL-01,2.7700,4.6212,3.0944,3.9792,3.9626,4.0790,5.3660,2.2452,3.8370
TCGA-KK-A8IF-01,3.5436,6.2325,1.9302,5.6702,4.4634,2.5163,0.0014,1.0363,4.8028
TCGA-HC-7081-01,3.2002,5.0014,4.1523,3.5299,5.2017,4.4101,6.9846,4.6854,4.9222
TCGA-EJ-AB20-01,2.4960,4.1772,1.9712,4.7127,3.8973,5.5176,0.9935,2.9071,4.9477
TCGA-HC-7736-01,3.7335,6.2466,4.0653,4.6854,4.3449,5.9397,1.9968,4.2847,5.0833
TCGA-EJ-A65M-01,2.6693,5.5766,2.2753,4.1539,3.8075,3.3952,0.8568,2.1638,4.5802
TCGA-V1-A8WN-01,3.2885,5.2954,3.8228,4.3653,4.5072,5.0501,1.4011,3.4868,4.3155
TCGA-EJ-5498-01,3.3591,5.9189,4.4088,5.0335,4.8724,5.6784,6.3140,4.5454,3.7950
TCGA-EJ-A65G-01,2.7742,4.8655,2.8681,4.1692,4.0610,2.7007,-0.3940,1.7870,4.1844
TCGA-XJ-A9DQ-01,2.8502,4.1595,2.9729,4.0287,3.6916,4.8660,4.9458,2.8402,4.8069
TCGA-EJ-A65F-01,3.1892,6.4837,3.1924,4.3709,4.8525,4.5123,6.6434,3.5911,5.2292
TCGA-EJ-7785-01,3.6160,5.8970,4.3862,4.8817,4.9612,4.8375,7.2590,4.4476,5.1827
